Date,Temperature ,Humidity,Wind Speed,Rain,Cities
1/1/2024,22,60,15,0,New York
1/2/2024,24,55,12,0,Los Angeles
1/3/2024,23,58,10,0,Chicago
1/4/2024,20,65,18,0,Houston
1/5/2024,21,63,16,1.2,Phoenix
1/6/2024,19,70,14,0,Philadelphia
1/7/2024,22,62,17,0,San Antonio
1/8/2024,23,64,13,0.5,San Diego
1/9/2024,20,67,11,0,Dallas
1/10/2024,18,72,19,0,San Jose
1/11/2024,25,60,15,0,Austin
1/12/2024,22,61,14,0.3,Jacksonville
1/13/2024,23,62,12,0,Fort Worth
1/14/2024,24,56,11,0,Columbus
1/15/2024,21,65,17,0,San Francisco
1/16/2024,22,63,18,0.2,Charlotte
1/17/2024,24,59,13,0,Indianapolis
1/18/2024,19,69,20,1,Seattle
1/19/2024,22,61,16,0,Denver
1/20/2024,20,68,14,0,Washington
1/21/2024,21,65,15,0,Boston
1/22/2024,23,62,12,0,El Paso
1/23/2024,18,73,17,0.1,Nashville
1/24/2024,19,70,19,0,Detroit
1/25/2024,22,64,15,0.3,Oklahoma City
1/26/2024,21,62,16,0,Portland
1/27/2024,20,66,14,0,Las Vegas
1/28/2024,24,58,18,0,Memphis
1/29/2024,25,55,12,0,Louisville
1/30/2024,23,59,13,0.5,Baltimore
1/31/2024,22,62,14,0,Milwaukee
2/1/2024,21,63,16,0,Albuquerque
2/2/2024,19,70,18,0.2,Tucson
2/3/2024,18,72,14,0,Fresno
2/4/2024,22,60,15,0,Sacramento
2/5/2024,23,62,16,0,Kansas City
2/6/2024,20,68,17,0.1,Mesa
2/7/2024,21,66,14,0,Atlanta
2/8/2024,22,64,13,0,Raleigh
2/9/2024,19,71,15,0,Omaha
2/10/2024,18,69,19,1,Miami
2/11/2024,23,60,11,0,Long Beach
2/12/2024,21,63,12,0,Virginia Beach
2/13/2024,24,58,10,0,Oakland
2/14/2024,22,61,17,0,Minneapolis
2/15/2024,23,62,13,0.3,Tulsa
2/16/2024,20,65,15,0,Arlington
2/17/2024,21,64,16,0,New Orleans
2/18/2024,19,69,14,0,Wichita
2/19/2024,22,63,13,0,Cleveland
2/20/2024,23,62,15,0,Tampa
2/21/2024,21,65,12,0,Bakersfield
2/22/2024,24,59,16,0,Aurora
2/23/2024,25,55,13,0,Honolulu
2/24/2024,23,60,18,0,Anaheim
2/25/2024,22,62,14,0,Santa Ana
2/26/2024,21,63,16,0.3,Corpus Christi
2/27/2024,20,66,15,0,Riverside
2/28/2024,23,59,17,0,Lexington
2/29/2024,24,58,18,0,Stockton
3/1/2024,21,63,13,0,Henderson
3/2/2024,22,64,14,0,Saint Paul
3/3/2024,23,61,16,0,St. Louis
3/4/2024,24,59,13,0,Cincinnati
3/5/2024,25,55,12,0,Pittsburgh
3/6/2024,22,60,14,0,Greensboro
3/7/2024,23,62,16,0.3,Lincoln
3/8/2024,21,64,15,0,Anchorage
3/9/2024,20,66,14,0,Plano
3/10/2024,19,69,12,0,Orlando
3/11/2024,22,63,13,0,Irvine
3/12/2024,23,61,14,0,Newark
3/13/2024,24,58,15,0,Durham
3/14/2024,22,60,16,0,Chula Vista
3/15/2024,21,62,17,0,Buffalo
3/16/2024,23,59,14,0.3,Chandler
3/17/2024,25,55,13,0,Madison
3/18/2024,22,63,15,0,Laredo
3/19/2024,23,60,14,0,Scottsdale
3/20/2024,24,58,16,0,Reno
3/21/2024,22,61,14,0,Glendale
3/22/2024,23,59,15,0,Hialeah
3/23/2024,21,64,13,0,Baton Rouge
3/24/2024,22,62,14,0.1,Spokane
3/25/2024,23,63,16,0,Des Moines
3/26/2024,24,59,15,0,Montgomery
3/27/2024,22,60,16,0.3,Augusta
3/28/2024,23,61,13,0,Grand Rapids
3/29/2024,21,65,14,0,Mobile
3/30/2024,22,62,15,0,Salt Lake City
3/31/2024,23,60,16,0,Tallahassee
